Name,Poster Code,Latitude,Longitude
ASDA,TW13 4BH,51.446293,-0.410938
ASDA,SM1 1LD,51.367893,-0.195271
ASDA,N9 0PN,51.618305,-0.062507
ASDA,DA1 1BU,#N/A,#N/A
ASDA,TW3 1JT,51.470211,-0.363118
ASDA,WD24 7RT,#N/A,#N/A
ASDA,TW7 7DZ,51.461737,-0.33227
ASDA,E5 9AH,51.573216,-0.071222
ASDA,HA2 8JN,51.557721,-0.360974
ASDA,EN3 4EF,51.641443,-0.046837
ASDA,DA6 8EQ,51.458968,0.127218
ASDA,SE15 4NB,51.467888,-0.067504
ASDA,N17 9JF,51.593446,-0.069412
ASDA,CR4 3EB,51.408727,-0.170164
ASDA,CR4 3FL,51.408007,-0.167881
ASDA,RM8 1BB,51.56383,0.146653
ASDA,N6 5BN,51.573918,-0.142036
ASDA,HA7 4PD,51.619673,-0.303099
ASDA,HA3 5AG,51.592484,-0.334098
ASDA,HA3 7AE,51.594142,-0.334961
ASDA,SE8 4AD,51.475717,-0.02625
ASDA,IG11 8EW,51.53702,0.078857
ASDA,UB3 4AZ,51.501975,-0.428367
ASDA,E1 4UJ,51.521174,-0.050416
ASDA,SM3 9HB,51.385003,-0.212012
ASDA,SE13 7SD,51.466429,-0.016731
ASDA,SW11 1JG,51.46546,-0.16493
ASDA,SW15 3DT,51.43936,-0.246308
ASDA,SE1 5AN,51.484739,-0.071299
ASDA,E17 7JR,51.583343,-0.023624
ASDA,NW10 7LW,51.528721,-0.270153
ASDA,SE7 7st,51.488551,0.022217
ASDA,KT2 6QL,51.411096,-0.290737
ASDA,N14 5PP,51.634336,-0.133397
ASDA,NW9 0AS,51.594242,-0.260648
ASDA,IG11 8DJ,51.537707,0.081225
ASDA,E6 5UP,51.516006,0.044995
ASDA,DA6 7BN,51.457189,0.141905
ASDA,RM9 6SJ,51.530849,0.144928
ASDA,E10 5NH,51.555293,-0.00871
ASDA,E14 3BT,51.494253,-0.013619
ASDA,HA9 9EY,51.565104,-0.276924
ASDA,CR0 4XS,51.376935,-0.128443
ASDA,RM1 3EE,51.579431,0.185666
