Name,Poster Code,Latitude,Longitude
Iceland,N1 1EE,51.539737,-0.117168
Iceland,E1 2PP,51.513554,-0.056653
Iceland,SW6 1NQ,51.483067,-0.200849
Iceland,NW5 2TJ,51.550433,-0.141074
Iceland,SE1 6TB,51.494303,-0.099665
Iceland,W6 9JG,51.492362,-0.23023
Iceland,N1 9ER,51.533387,-0.108736
Iceland,SE1 7AE,51.500659,-0.113394
Iceland,W9 3QA,51.524574,-0.201866
Iceland,N1 6RA,51.532352,-0.080404
Iceland,SW4 0HY,51.462044,-0.139259
Iceland,SW9 9AE,51.47109,-0.124589
Iceland,SW9 8HE,51.462703,-0.114669
Iceland,NW10 4NS,51.536064,-0.246314
Iceland,W3 7DA,51.514611,-0.248882
Iceland,SW17 0SN,51.429203,-0.166127
Iceland,NW2 3ED,51.556768,-0.214906
Iceland,NW2 7PY,51.561415,-0.252408
Iceland,N7 6QA,51.557305,-0.118087
Iceland,N2 9AG,51.597945,-0.168287
Iceland,N4 1LA,51.581128,-0.099235
Iceland,E8 3SH,51.539617,-0.055814
Iceland,SE8 4NS,51.478244,-0.026267
Iceland,SE5 0EE,51.479996,-0.094672
Iceland,SE14 6AS,51.475524,-0.03838
Iceland,SE15 5DQ,51.470396,-0.069097
Iceland,SE16 3RW,51.492079,-0.063772
Iceland,SE17 2NA,51.486059,-0.094779
Iceland,BR2 7EH,51.377216,0.010423
Iceland,SE10 9ER,51.485279,0.006401
Iceland,SE13 6JL,51.46043,-0.011402
Iceland,CR0 0JD,51.341033,-0.014091
Iceland,CR0 1RG,51.372852,-0.101569
Iceland,E16 1EN,51.517367,0.012148
Iceland,SE22 8HF,51.457483,-0.075687
Iceland,E13 8EE,51.521898,0.021126
Iceland,E13 9AP,51.536755,0.034504
Iceland,SE18 6BB,51.49114,0.068672
Iceland,E11 4QS,51.566458,0.010087
Iceland,SE9 1BQ,51.450393,0.054897
Iceland,E6 2HT,51.536787,0.052257
Iceland,SE6 4JU,51.446217,-0.020698
Iceland,SE28 8RA,51.507067,0.107049
Iceland,E4 6SJ,51.618044,-0.017191
Iceland,SW16 1BB,51.431138,-0.129808
Iceland,SW16 4DE,51.409106,-0.121907
Iceland,SE12 8SS,51.455707,0.012387
Iceland,SE20 7EX,51.414657,-0.052679
